"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"166",95,87,68,63,108,59,128,76,106
"167",96,89,64,61,112,59,130,76,110
"168",96,91,77,77,108,NA,123,81,104
"169",88,79,67,65,102,NA,121,69,100
"170",101,106,78,77,127,NA,128,83,120
"171",87,NA,74,71,103,72,118,77,100
"172",88,72,63,61,102,NA,122,67,99
"173",90,72,66,64,100,NA,118,67,99
"174",88,NA,75,75,98,NA,112,76,95
"175",85,70,65,60,93,NA,112,64,93
"176",85,NA,79,76,98,NA,115,76,93
