ダウンロードした時刻：2021/01/11 10:40:17

,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）
年月日,平均気温(℃),平均気温(℃),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,品質情報,,品質情報
2018/5/1,20.7,8,26.08,8
2018/5/2,19.2,8,11.19,8
2018/5/3,21.0,8,12.25,8
2018/5/4,15.5,8,21.98,8
2018/5/5,16.5,8,27.70,8
2018/5/6,19.5,8,25.45,8
2018/5/7,17.2,8,8.28,8
2018/5/8,12.7,8,4.80,8
2018/5/9,11.7,8,7.96,8
2018/5/10,11.0,8,11.22,8
2018/5/11,14.9,8,27.77,8
2018/5/12,17.9,8,22.11,8
2018/5/13,16.9,8,8.03,8
2018/5/14,19.0,8,24.43,8
2018/5/15,20.8,8,27.62,8
2018/5/16,21.7,8,26.03,8
2018/5/17,23.3,8,20.69,8
2018/5/18,19.6,8,23.48,8
2018/5/19,18.6,8,19.58,8
2018/5/20,15.3,8,29.63,8
2018/5/21,17.1,8,20.43,8
2018/5/22,19.2,8,28.78,8
2018/5/23,17.8,8,11.08,8
2018/5/24,19.7,8,21.39,8
2018/5/25,21.0,8,21.48,8
2018/5/26,19.7,8,17.43,8
2018/5/27,19.4,8,26.55,8
2018/5/28,20.6,8,10.17,8
2018/5/29,22.3,8,22.22,8
2018/5/30,20.3,8,9.40,8
2018/5/31,19.4,8,11.10,8
2018/6/1,19.9,8,22.89,8
2018/6/2,20.7,8,23.16,8
2018/6/3,21.1,8,27.60,8
2018/6/4,21.5,8,30.11,8
2018/6/5,22.2,8,24.10,8
2018/6/6,20.3,8,7.06,8
2018/6/7,22.2,8,25.08,8
2018/6/8,23.1,8,23.71,8
2018/6/9,24.5,8,21.59,8
2018/6/10,19.5,8,4.64,8
2018/6/11,19.0,8,5.41,8
2018/6/12,18.6,8,5.60,8
2018/6/13,20.3,8,20.52,8
2018/6/14,19.1,8,17.81,8
2018/6/15,16.2,8,4.27,8
2018/6/16,15.0,8,7.88,8
2018/6/17,17.7,8,13.25,8
2018/6/18,19.6,8,5.85,8
2018/6/19,21.9,8,25.51,8
2018/6/20,20.0,8,4.33,8
2018/6/21,20.8,8,9.14,8
2018/6/22,22.1,8,23.77,8
2018/6/23,20.0,8,7.34,8
2018/6/24,21.0,8,16.59,8
2018/6/25,24.5,8,28.04,8
2018/6/26,24.9,8,23.57,8
2018/6/27,26.7,8,20.53,8
2018/6/28,26.3,8,13.56,8
2018/6/29,27.6,8,29.03,8
2018/6/30,28.2,8,28.05,8
2018/7/1,27.8,8,28.21,8
2018/7/2,27.7,8,29.15,8
2018/7/3,27.2,8,25.42,8
2018/7/4,27.0,8,17.10,8
2018/7/5,26.1,8,8.13,8
2018/7/6,20.5,8,4.35,8
2018/7/7,24.4,8,18.89,8
2018/7/8,27.4,8,24.00,8
2018/7/9,26.8,8,19.11,8
2018/7/10,28.0,8,21.70,8
2018/7/11,28.3,8,22.78,8
2018/7/12,25.9,8,19.82,8
2018/7/13,28.4,8,21.03,8
2018/7/14,28.5,8,25.64,8
2018/7/15,29.4,8,24.62,8
2018/7/16,29.5,8,23.70,8
2018/7/17,29.4,8,20.36,8
2018/7/18,30.0,8,21.69,8
2018/7/19,29.6,8,21.32,8
2018/7/20,29.3,8,20.73,8
2018/7/21,29.7,8,23.46,8
2018/7/22,30.1,8,20.49,8
2018/7/23,30.0,8,22.86,8
2018/7/24,27.7,8,21.24,8
2018/7/25,26.7,8,20.97,8
2018/7/26,25.0,8,20.05,8
2018/7/27,23.8,8,16.57,8
2018/7/28,24.5,8,11.17,8
2018/7/29,28.0,8,22.39,8
2018/7/30,27.1,8,20.30,8
2018/7/31,27.8,8,24.49,8
2018/8/1,29.5,8,25.01,8
2018/8/2,29.3,8,22.31,8
2018/8/3,28.3,8,24.88,8
2018/8/4,28.2,8,25.15,8
2018/8/5,29.8,8,23.97,8
2018/8/6,26.4,8,14.31,8
2018/8/7,22.9,8,7.48,8
2018/8/8,24.3,8,7.32,8
2018/8/9,26.3,8,6.68,8
2018/8/10,28.8,8,20.20,8
2018/8/11,28.1,8,17.38,8
2018/8/12,26.3,8,11.59,8
2018/8/13,27.2,8,15.27,8
2018/8/14,28.4,8,20.39,8
2018/8/15,29.1,8,22.32,8
2018/8/16,28.1,8,16.41,8
2018/8/17,24.4,8,25.70,8
2018/8/18,20.6,8,24.07,8
2018/8/19,21.4,8,20.83,8
2018/8/20,22.7,8,12.57,8
2018/8/21,27.6,8,20.92,8
2018/8/22,29.8,8,24.04,8
2018/8/23,28.9,8,21.21,8
2018/8/24,28.6,8,13.02,8
2018/8/25,30.1,8,24.00,8
2018/8/26,30.4,8,24.47,8
2018/8/27,27.1,8,22.30,8
2018/8/28,24.8,8,13.24,8
2018/8/29,24.8,8,8.86,8
2018/8/30,27.5,8,17.49,8
2018/8/31,26.7,8,18.85,8
2018/9/1,23.6,8,10.01,8
2018/9/2,21.8,8,6.08,8
2018/9/3,23.4,8,7.75,8
2018/9/4,26.5,8,8.03,8
2018/9/5,27.2,8,19.59,8
2018/9/6,26.1,8,16.25,8
2018/9/7,26.8,8,12.18,8
2018/9/8,27.2,8,18.17,8
2018/9/9,27.4,8,20.91,8
2018/9/10,24.2,8,9.30,8
2018/9/11,20.6,8,13.24,8
2018/9/12,19.6,8,14.29,8
2018/9/13,21.8,8,13.61,8
2018/9/14,21.9,8,7.91,8
2018/9/15,21.0,8,6.95,8
2018/9/16,22.8,8,13.26,8
2018/9/17,23.4,8,17.24,8
2018/9/18,22.8,8,14.95,8
2018/9/19,20.6,8,20.00,8
2018/9/20,18.5,8,5.93,8
