ダウンロードした時刻：2021/01/11 10:40:46

,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）
年月日,平均気温(℃),平均気温(℃),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,品質情報,,品質情報
2020/5/1,18.8,8,25.08,8
2020/5/2,20.0,8,26.58,8
2020/5/3,19.8,8,22.93,8
2020/5/4,18.9,8,11.54,8
2020/5/5,18.9,8,21.65,8
2020/5/6,15.1,8,3.25,8
2020/5/7,14.6,8,28.31,8
2020/5/8,14.8,8,27.74,8
2020/5/9,16.6,8,13.16,8
2020/5/10,20.0,8,9.73,8
2020/5/11,22.1,8,26.06,8
2020/5/12,20.1,8,17.21,8
2020/5/13,19.6,8,21.71,8
2020/5/14,19.3,8,29.25,8
2020/5/15,20.2,8,23.23,8
2020/5/16,18.6,8,5.63,8
2020/5/17,20.9,8,28.08,8
2020/5/18,18.1,8,6.49,8
2020/5/19,17.8,8,5.58,8
2020/5/20,12.0,8,6.48,8
2020/5/21,12.7,8,5.97,8
2020/5/22,14.6,8,8.46,8
2020/5/23,17.9,8,11.41,8
2020/5/24,19.6,8,21.06,8
2020/5/25,20.9,8,21.56,8
2020/5/26,20.3,8,12.19,8
2020/5/27,20.3,8,18.21,8
2020/5/28,19.0,8,20.67,8
2020/5/29,19.6,8,28.87,8
2020/5/30,20.7,8,28.28,8
2020/5/31,20.0,8,13.78,8
2020/6/1,19.7,8,5.58,8
2020/6/2,22.0,8,15.71,8
2020/6/3,22.3,8,23.61,8
2020/6/4,22.0,8,15.51,8
2020/6/5,24.4,8,27.00,8
2020/6/6,23.1,8,18.38,8
2020/6/7,20.5,8,24.76,8
2020/6/8,21.8,8,22.63,8
2020/6/9,24.3,8,27.57,8
2020/6/10,25.1,8,28.59,8
2020/6/11,24.7,8,15.96,8
2020/6/12,25.3,8,19.92,8
2020/6/13,19.9,8,3.03,8
2020/6/14,20.9,8,6.89,8
2020/6/15,26.2,8,24.06,8
2020/6/16,24.6,8,24.13,8
2020/6/17,21.9,8,29.61,8
2020/6/18,21.4,8,12.98,8
2020/6/19,18.7,8,4.67,8
2020/6/20,22.6,8,27.01,8
2020/6/21,20.2,8,11.80,8
2020/6/22,19.1,8,4.23,8
2020/6/23,20.9,8,11.06,8
2020/6/24,20.2,8,16.62,8
2020/6/25,19.0,8,6.59,8
2020/6/26,22.6,8,16.63,8
2020/6/27,24.4,8,17.09,8
2020/6/28,21.8,8,6.56,8
2020/6/29,24.1,8,25.32,8
2020/6/30,24.1,8,8.38,8
2020/7/1,25.1,8,7.42,8
2020/7/2,25.4,8,28.39,8
2020/7/3,22.1,8,14.11,8
2020/7/4,23.0,8,8.12,8
2020/7/5,21.3,8,8.98,8
2020/7/6,24.7,8,8.36,8
2020/7/7,26.5,8,9.86,8
2020/7/8,25.6,8,12.27,8
2020/7/9,23.9,8,7.89,8
2020/7/10,25.2,8,12.02,8
2020/7/11,26.9,8,13.38,8
2020/7/12,24.0,8,21.82,8
2020/7/13,20.3,8,10.60,8
2020/7/14,20.6,8,4.07,8
2020/7/15,19.7,8,6.19,8
2020/7/16,19.4,8,10.68,8
2020/7/17,19.1,8,5.51,8
2020/7/18,20.2,8,4.31,8
2020/7/19,23.9,8,16.25,8
2020/7/20,23.1,8,21.56,8
2020/7/21,23.4,8,12.02,8
2020/7/22,25.0,8,9.31,8
2020/7/23,22.7,8,4.70,8
2020/7/24,24.1,8,15.29,8
2020/7/25,24.8,8,6.68,8
2020/7/26,25.6,8,12.40,8
2020/7/27,26.0,8,11.47,8
2020/7/28,25.5,8,7.93,8
2020/7/29,22.0,8,8.26,8
2020/7/30,21.8,8,16.25,8
2020/7/31,23.6,8,11.82,8
2020/8/1,24.8,8,24.33,8
2020/8/2,24.8,8,26.58,8
2020/8/3,25.8,8,24.77,8
2020/8/4,27.1,8,24.11,8
2020/8/5,27.9,8,23.69,8
2020/8/6,28.0,8,24.30,8
2020/8/7,28.3,8,22.47,8
2020/8/8,25.6,8,17.53,8
2020/8/9,27.5,8,21.49,8
2020/8/10,29.0,8,20.56,8
2020/8/11,30.1,8,25.97,8
2020/8/12,29.0,8,18.22,8
2020/8/13,29.0,8,21.74,8
2020/8/14,28.3,8,24.90,8
2020/8/15,30.3,8,22.19,8
2020/8/16,28.7,8,24.64,8
2020/8/17,29.6,8,21.41,8
2020/8/18,27.7,8,20.67,8
2020/8/19,27.6,8,24.30,8
2020/8/20,29.0,8,24.42,8
2020/8/21,29.3,8,24.14,8
2020/8/22,27.1,8,21.01,8
2020/8/23,25.0,8,11.08,8
2020/8/24,26.1,8,18.67,8
2020/8/25,26.0,8,21.34,8
2020/8/26,27.1,8,16.50,8
2020/8/27,28.8,8,16.35,5
2020/8/28,29.5,8,19.93,8
2020/8/29,29.5,8,22.04,8
2020/8/30,29.0,8,22.12,8
2020/8/31,25.2,8,12.75,8
2020/9/1,24.5,8,6.20,8
2020/9/2,26.3,8,7.32,8
2020/9/3,28.4,8,17.54,8
2020/9/4,28.2,8,20.52,8
2020/9/5,27.0,8,14.81,8
2020/9/6,25.6,8,13.00,8
2020/9/7,27.7,8,13.11,8
2020/9/8,29.5,8,21.64,8
2020/9/9,27.5,8,20.80,8
2020/9/10,27.2,8,17.98,8
2020/9/11,27.8,8,19.17,8
2020/9/12,23.2,8,5.14,8
2020/9/13,22.4,8,10.84,8
2020/9/14,22.4,8,8.60,8
2020/9/15,22.7,8,14.27,8
2020/9/16,22.8,8,11.80,8
2020/9/17,24.3,8,13.14,8
2020/9/18,28.6,8,15.81,8
2020/9/19,23.0,8,6.49,8
2020/9/20,20.7,8,5.51,8
