ダウンロードした時刻：2021/01/11 10:40:00

,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）
年月日,平均気温(℃),平均気温(℃),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,品質情報,,品質情報
2017/5/1,14.7,8,14.48,8
2017/5/2,13.6,8,28.27,8
2017/5/3,15.5,8,24.18,8
2017/5/4,17.0,8,24.52,8
2017/5/5,18.5,8,27.61,8
2017/5/6,20.1,8,19.82,8
2017/5/7,18.3,8,15.47,8
2017/5/8,19.4,8,27.84,8
2017/5/9,17.4,8,17.01,8
2017/5/10,15.6,8,4.68,8
2017/5/11,20.3,8,26.14,8
2017/5/12,20.3,8,23.40,8
2017/5/13,17.2,8,2.30,8
2017/5/14,16.9,8,7.78,8
2017/5/15,16.2,8,7.21,8
2017/5/16,18.2,8,19.69,8
2017/5/17,15.1,8,8.31,8
2017/5/18,16.5,8,17.70,8
2017/5/19,18.9,8,27.94,8
2017/5/20,21.3,8,27.70,8
2017/5/21,23.2,8,27.64,8
2017/5/22,22.4,8,26.14,8
2017/5/23,21.6,8,25.79,8
2017/5/24,21.7,8,9.95,8
2017/5/25,19.0,8,5.19,8
2017/5/26,16.8,8,3.44,8
2017/5/27,17.6,8,16.13,8
2017/5/28,20.0,8,22.45,8
2017/5/29,20.7,8,27.23,8
2017/5/30,22.7,8,26.79,8
2017/5/31,22.9,8,17.76,8
2017/6/1,21.5,8,15.61,8
2017/6/2,21.6,8,23.71,8
2017/6/3,19.2,8,29.31,8
2017/6/4,19.2,8,28.93,8
2017/6/5,18.2,8,27.49,8
2017/6/6,18.0,8,18.75,8
2017/6/7,19.4,8,11.72,8
2017/6/8,21.0,8,13.52,8
2017/6/9,21.6,8,25.11,8
2017/6/10,22.3,8,23.82,8
2017/6/11,20.0,8,19.99,8
2017/6/12,18.8,8,24.97,8
2017/6/13,16.1,8,5.95,8
2017/6/14,18.3,8,16.87,8
2017/6/15,20.2,8,20.56,8
2017/6/16,21.0,8,24.64,8
2017/6/17,20.0,8,30.18,8
2017/6/18,19.1,8,8.40,8
2017/6/19,19.9,8,21.68,8
2017/6/20,21.8,8,27.10,8
2017/6/21,22.0,8,3.27,8
2017/6/22,22.8,8,18.77,8
2017/6/23,23.0,8,25.65,8
2017/6/24,23.6,8,23.19,8
2017/6/25,22.8,8,9.39,8
2017/6/26,22.5,8,14.88,8
2017/6/27,21.6,8,13.32,8
2017/6/28,21.5,8,9.27,8
2017/6/29,24.1,8,20.79,8
2017/6/30,23.8,8,9.57,8
2017/7/1,22.1,8,6.21,8
2017/7/2,25.7,8,18.72,8
2017/7/3,27.2,8,19.61,8
2017/7/4,25.1,8,7.49,8
2017/7/5,25.1,8,20.01,8
2017/7/6,24.6,8,23.39,8
2017/7/7,26.1,8,23.96,8
2017/7/8,26.9,8,24.36,8
2017/7/9,27.3,8,26.71,8
2017/7/10,27.4,8,26.45,8
2017/7/11,27.5,8,25.60,8
2017/7/12,28.2,8,21.85,8
2017/7/13,28.2,8,23.85,8
2017/7/14,28.3,8,26.36,8
2017/7/15,27.5,8,25.47,8
2017/7/16,28.3,8,19.24,8
2017/7/17,28.1,8,21.47,8
2017/7/18,25.0,8,18.18,8
2017/7/19,24.5,8,19.27,8
2017/7/20,27.5,8,23.26,8
2017/7/21,28.3,8,26.78,8
2017/7/22,28.4,8,21.07,8
2017/7/23,26.8,8,8.16,8
2017/7/24,27.8,8,12.42,8
2017/7/25,27.3,8,8.37,8
2017/7/26,23.5,8,6.58,8
2017/7/27,22.7,8,7.64,8
2017/7/28,25.6,8,22.19,8
2017/7/29,25.9,8,14.40,8
2017/7/30,25.4,8,15.25,8
2017/7/31,27.5,8,20.49,8
2017/8/1,24.4,8,6.12,8
2017/8/2,22.0,8,10.16,8
2017/8/3,23.4,8,19.75,8
2017/8/4,24.2,8,12.29,8
2017/8/5,26.4,8,12.63,8
2017/8/6,27.6,8,17.45,8
2017/8/7,28.5,8,19.25,8
2017/8/8,27.9,8,13.96,8
2017/8/9,27.6,8,24.70,8
2017/8/10,23.6,8,4.67,8
2017/8/11,22.3,8,8.60,8
2017/8/12,23.3,8,9.92,8
2017/8/13,25.3,8,20.42,8
2017/8/14,23.4,8,4.66,8
2017/8/15,22.6,8,3.48,8
2017/8/16,22.0,8,5.37,8
2017/8/17,24.1,8,11.42,8
2017/8/18,25.6,8,11.38,8
2017/8/19,24.1,8,7.65,8
2017/8/20,24.6,8,13.68,8
2017/8/21,25.8,8,13.48,8
2017/8/22,27.3,8,17.09,8
2017/8/23,28.0,8,20.27,8
2017/8/24,28.6,8,20.56,8
2017/8/25,28.4,8,15.81,8
2017/8/26,26.9,8,11.54,8
2017/8/27,24.7,8,20.45,8
2017/8/28,24.8,8,18.51,8
2017/8/29,27.7,8,16.04,8
2017/8/30,25.6,8,13.77,8
2017/8/31,20.6,8,8.55,8
2017/9/1,20.9,8,16.36,8
2017/9/2,19.0,8,12.28,8
2017/9/3,20.9,8,20.93,8
2017/9/4,20.8,8,5.54,8
2017/9/5,22.2,8,14.35,8
2017/9/6,21.2,8,4.27,8
2017/9/7,21.5,8,5.20,8
2017/9/8,21.6,8,11.27,8
2017/9/9,22.2,8,17.96,8
2017/9/10,23.8,8,20.25,8
2017/9/11,24.9,8,17.09,8
2017/9/12,24.1,8,6.18,8
2017/9/13,24.8,8,19.23,8
2017/9/14,23.9,8,18.15,8
2017/9/15,21.7,8,18.94,8
2017/9/16,19.5,8,6.85,8
2017/9/17,20.3,8,4.78,8
2017/9/18,27.1,8,20.91,8
2017/9/19,23.2,8,15.33,8
2017/9/20,21.3,8,6.31,8
