ダウンロードした時刻：2021/01/11 10:39:45

,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）
年月日,平均気温(℃),平均気温(℃),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,品質情報,,品質情報
2016/5/1,16.2,8,24.38,8
2016/5/2,15.2,8,17.00,8
2016/5/3,19.8,8,21.35,8
2016/5/4,20.8,8,22.36,8
2016/5/5,19.1,8,28.02,8
2016/5/6,17.1,8,13.26,8
2016/5/7,20.6,8,25.55,8
2016/5/8,19.2,8,26.14,8
2016/5/9,18.1,8,12.28,8
2016/5/10,17.4,8,7.12,8
2016/5/11,20.3,8,9.47,8
2016/5/12,19.7,8,29.12,8
2016/5/13,19.7,8,26.52,8
2016/5/14,17.4,8,23.74,8
2016/5/15,15.7,8,27.42,8
2016/5/16,18.4,8,14.71,8
2016/5/17,17.4,8,2.96,8
2016/5/18,17.0,8,29.83,8
2016/5/19,17.0,8,28.11,8
2016/5/20,15.8,8,15.87,8
2016/5/21,16.5,8,25.98,8
2016/5/22,19.2,8,28.05,8
2016/5/23,21.5,8,26.23,8
2016/5/24,22.4,8,23.18,8
2016/5/25,22.0,8,10.49,8
2016/5/26,22.9,8,15.68,8
2016/5/27,18.2,8,5.96,8
2016/5/28,17.8,8,13.20,8
2016/5/29,21.0,8,26.05,8
2016/5/30,17.1,8,7.74,8
2016/5/31,20.1,8,19.68,8
2016/6/1,21.0,8,24.84,8
2016/6/2,18.4,8,25.07,8
2016/6/3,17.5,8,29.28,8
2016/6/4,20.5,8,23.49,8
2016/6/5,19.8,8,17.08,8
2016/6/6,18.6,8,14.30,8
2016/6/7,19.3,8,5.39,8
2016/6/8,21.2,8,14.41,8
2016/6/9,21.2,8,8.09,8
2016/6/10,22.7,8,29.22,8
2016/6/11,22.8,8,27.62,8
2016/6/12,22.8,8,19.85,8
2016/6/13,19.4,8,5.18,8
2016/6/14,20.8,8,22.69,8
2016/6/15,19.0,8,5.87,8
2016/6/16,21.4,8,7.50,8
2016/6/17,24.0,8,25.81,8
2016/6/18,24.6,8,26.61,8
2016/6/19,23.9,8,17.66,8
2016/6/20,23.6,8,22.80,8
2016/6/21,22.2,8,11.31,8
2016/6/22,21.5,8,5.70,8
2016/6/23,22.2,8,8.12,8
2016/6/24,21.7,8,10.25,8
2016/6/25,24.0,8,6.40,8
2016/6/26,24.0,8,20.79,8
2016/6/27,23.0,8,26.06,8
2016/6/28,19.0,8,4.05,8
2016/6/29,21.2,8,11.05,8
2016/6/30,22.8,8,13.14,8
2016/7/1,24.7,8,18.47,8
2016/7/2,25.6,8,14.62,8
2016/7/3,28.1,8,21.07,8
2016/7/4,26.2,8,23.11,8
2016/7/5,20.2,8,6.35,8
2016/7/6,21.9,8,8.21,8
2016/7/7,24.0,8,25.37,8
2016/7/8,24.6,8,16.43,8
2016/7/9,22.7,8,6.36,8
2016/7/10,25.1,8,26.44,8
2016/7/11,26.5,8,21.86,8
2016/7/12,25.3,8,24.46,8
2016/7/13,24.9,8,8.11,8
2016/7/14,25.0,8,16.11,8
2016/7/15,21.6,8,5.78,8
2016/7/16,23.0,8,15.83,8
2016/7/17,25.4,8,9.53,8
2016/7/18,27.0,8,23.59,8
2016/7/19,26.7,8,27.06,8
2016/7/20,24.8,8,22.16,8
2016/7/21,21.4,8,4.89,8
2016/7/22,21.3,8,8.12,8
2016/7/23,21.1,8,13.41,8
2016/7/24,22.1,8,22.02,8
2016/7/25,23.5,8,17.43,8
2016/7/26,23.0,8,5.57,8
2016/7/27,24.4,8,10.33,8
2016/7/28,26.4,8,20.69,8
2016/7/29,26.5,8,25.35,8
2016/7/30,26.1,8,23.50,8
2016/7/31,26.3,8,20.04,8
2016/8/1,26.7,8,19.57,8
2016/8/2,25.8,8,14.98,8
2016/8/3,26.2,8,15.18,8
2016/8/4,27.3,8,17.43,8
2016/8/5,28.4,8,24.09,8
2016/8/6,28.2,8,24.21,8
2016/8/7,27.4,8,26.48,8
2016/8/8,27.5,8,15.54,8
2016/8/9,29.6,8,22.05,8
2016/8/10,27.3,8,23.17,8
2016/8/11,25.5,8,17.46,8
2016/8/12,25.3,8,23.44,8
2016/8/13,24.7,8,19.09,8
2016/8/14,24.2,8,19.43,8
2016/8/15,26.4,8,11.03,8
2016/8/16,26.4,8,17.00,8
2016/8/17,28.4,8,22.76,8
2016/8/18,26.3,8,8.58,8
2016/8/19,26.5,8,20.40,8
2016/8/20,25.9,8,12.61,8
2016/8/21,27.5,8,18.95,8
2016/8/22,25.9,8,2.71,8
2016/8/23,26.5,8,14.63,8
2016/8/24,25.1,8,18.34,8
2016/8/25,26.9,8,17.06,8
2016/8/26,27.1,8,24.23,8
2016/8/27,23.0,8,6.67,8
2016/8/28,22.2,8,6.78,8
2016/8/29,25.9,8,14.40,8
2016/8/30,25.3,8,8.19,8
2016/8/31,25.4,8,23.87,8
2016/9/1,25.6,8,21.90,8
2016/9/2,25.3,8,21.92,8
2016/9/3,25.9,8,20.88,8
2016/9/4,26.0,8,16.65,8
2016/9/5,27.1,8,19.03,8
2016/9/6,27.8,8,18.58,8
2016/9/7,24.8,8,7.00,8
2016/9/8,25.5,8,11.56,8
2016/9/9,26.0,8,18.21,8
2016/9/10,24.9,8,20.23,8
2016/9/11,23.4,8,12.71,8
2016/9/12,23.6,8,10.18,8
2016/9/13,22.5,8,4.62,8
2016/9/14,22.9,8,7.67,8
2016/9/15,23.7,8,10.05,8
2016/9/16,22.4,8,5.46,8
2016/9/17,24.2,8,13.94,8
2016/9/18,23.2,8,3.87,8
2016/9/19,20.7,8,4.14,8
2016/9/20,19.0,8,2.95,8
