ダウンロードした時刻：2021/01/11 10:39:30

,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）
年月日,平均気温(℃),平均気温(℃),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,品質情報,,品質情報
2015/5/1,19.0,8,26.83,8
2015/5/2,18.4,8,26.73,8
2015/5/3,19.5,8,23.57,8
2015/5/4,20.9,8,21.24,8
2015/5/5,15.8,8,19.43,8
2015/5/6,16.0,8,22.96,8
2015/5/7,17.4,8,13.38,8
2015/5/8,18.5,8,25.88,8
2015/5/9,16.5,8,8.20,8
2015/5/10,17.9,8,24.81,8
2015/5/11,15.8,8,28.06,8
2015/5/12,18.7,8,13.20,8
2015/5/13,20.9,8,25.24,8
2015/5/14,20.7,8,26.05,8
2015/5/15,20.6,8,23.69,8
2015/5/16,19.3,8,6.91,8
2015/5/17,21.1,8,26.60,8
2015/5/18,20.8,8,19.13,8
2015/5/19,18.5,8,5.75,8
2015/5/20,20.3,8,25.96,8
2015/5/21,18.0,8,27.32,8
2015/5/22,18.3,8,23.60,8
2015/5/23,20.3,8,22.70,8
2015/5/24,19.9,8,19.34,8
2015/5/25,18.6,8,19.72,8
2015/5/26,21.5,8,26.58,5
2015/5/27,20.4,8,27.45,8
2015/5/28,20.6,8,17.47,8
2015/5/29,19.8,8,7.13,8
2015/5/30,22.8,8,26.89,8
2015/5/31,23.3,8,23.66,8
2015/6/1,21.3,8,26.76,8
2015/6/2,22.6,8,21.91,8
2015/6/3,21.1,8,6.60,8
2015/6/4,21.5,8,27.72,8
2015/6/5,17.0,8,11.31,8
2015/6/6,16.3,8,16.05,8
2015/6/7,18.7,8,19.36,8
2015/6/8,19.9,8,18.20,8
2015/6/9,19.0,8,6.82,8
2015/6/10,21.5,8,22.77,8
2015/6/11,22.1,8,22.79,8
2015/6/12,21.1,8,9.15,8
2015/6/13,23.9,8,22.46,8
2015/6/14,22.7,8,9.46,8
2015/6/15,24.3,8,23.00,5
2015/6/16,22.7,8,14.27,8
2015/6/17,21.2,8,13.93,8
2015/6/18,21.0,8,10.75,8
2015/6/19,18.7,8,7.80,8
2015/6/20,20.8,8,24.13,8
2015/6/21,20.1,8,6.79,8
2015/6/22,21.5,8,18.96,8
2015/6/23,21.7,8,17.16,8
2015/6/24,22.6,8,25.68,8
2015/6/25,23.0,8,21.97,8
2015/6/26,21.5,8,7.92,8
2015/6/27,22.2,8,6.83,8
2015/6/28,20.8,8,18.84,8
2015/6/29,20.0,8,20.97,8
2015/6/30,21.0,8,14.55,8
2015/7/1,20.0,8,3.24,8
2015/7/2,21.5,8,4.47,8
2015/7/3,21.5,8,3.48,8
2015/7/4,22.5,8,8.34,8
2015/7/5,19.8,8,4.40,8
2015/7/6,19.5,8,5.73,8
2015/7/7,21.1,8,9.90,8
2015/7/8,21.3,8,8.69,8
2015/7/9,19.0,8,5.49,8
2015/7/10,22.1,8,19.77,8
2015/7/11,24.9,8,25.21,8
2015/7/12,26.3,8,25.83,8
2015/7/13,27.9,8,24.69,8
2015/7/14,28.9,8,27.80,8
2015/7/15,28.3,8,26.96,8
2015/7/16,26.2,8,9.02,8
2015/7/17,26.6,8,16.29,8
2015/7/18,26.9,8,14.15,8
2015/7/19,27.9,8,25.70,8
2015/7/20,27.9,8,25.09,8
2015/7/21,27.8,8,25.27,8
2015/7/22,28.4,8,27.79,8
2015/7/23,26.9,8,15.06,8
2015/7/24,26.5,8,17.66,8
2015/7/25,28.4,8,23.62,8
2015/7/26,29.2,8,23.22,8
2015/7/27,28.4,8,26.34,8
2015/7/28,27.1,8,17.76,8
2015/7/29,27.0,8,14.61,8
2015/7/30,27.6,8,20.75,8
2015/7/31,29.1,8,24.58,8
2015/8/1,29.9,8,22.86,8
2015/8/2,29.4,8,22.45,8
2015/8/3,28.7,8,23.71,8
2015/8/4,29.2,8,21.78,8
2015/8/5,29.7,8,25.77,8
2015/8/6,29.2,8,23.73,8
2015/8/7,28.7,8,24.27,8
2015/8/8,26.1,8,21.32,8
2015/8/9,26.2,8,21.13,8
2015/8/10,27.3,8,20.64,8
2015/8/11,27.6,8,19.14,8
2015/8/12,27.4,8,16.11,8
2015/8/13,26.1,8,10.98,8
2015/8/14,24.5,8,11.13,8
2015/8/15,26.6,8,19.41,8
2015/8/16,25.8,8,15.08,8
2015/8/17,24.9,8,4.51,8
2015/8/18,27.4,8,15.63,8
2015/8/19,26.2,8,18.73,8
2015/8/20,24.5,8,5.69,8
2015/8/21,25.2,8,10.27,8
2015/8/22,27.8,8,14.27,8
2015/8/23,25.6,8,19.12,8
2015/8/24,23.1,8,15.09,8
2015/8/25,20.9,8,10.33,8
2015/8/26,20.3,8,6.63,8
2015/8/27,22.4,8,8.23,8
2015/8/28,21.3,8,4.58,8
2015/8/29,20.3,8,3.82,8
2015/8/30,20.8,8,3.12,8
2015/8/31,21.9,8,6.21,8
2015/9/1,23.5,8,7.76,8
2015/9/2,26.6,8,12.88,8
2015/9/3,24.6,8,12.61,8
2015/9/4,25.2,8,16.48,8
2015/9/5,23.7,8,14.95,8
2015/9/6,23.2,8,7.68,8
2015/9/7,21.8,8,5.02,8
2015/9/8,20.1,8,2.74,8
2015/9/9,23.7,8,4.58,8
2015/9/10,22.4,8,4.03,8
2015/9/11,23.0,8,18.88,8
2015/9/12,23.1,8,13.60,8
2015/9/13,23.0,8,7.00,8
2015/9/14,21.7,8,18.84,8
2015/9/15,20.2,8,15.77,8
2015/9/16,20.5,8,9.58,8
2015/9/17,17.8,8,3.01,8
2015/9/18,20.0,8,5.40,8
2015/9/19,22.9,8,13.58,8
2015/9/20,21.1,8,17.17,8
